year,month,date,customer_id,acquisition_channel,signup_source,region,customer_tier,plan_price,discount_rate,arpu,gross_margin,churn_rate,contract_length_months,marketing_spend
2023,1,Jan-23,1001,outbound_sales,web,North America,Basic,78.84,0.1,63.63,0.76,0.022,12,212.48
2023,1,Jan-23,1002,meta_ads,web,LatAm,Pro,120.23,0,124.47,0.84,0.0512,1,352.6
2023,1,Jan-23,1003,organic_search,mobile_app,North America,Enterprise,335.82,0.2,278.2,0.81,0.0193,12,55.4
2023,1,Jan-23,1004,organic_search,web,Europe,Pro,193.89,0.1,190.65,0.8,0.0842,1,49.1
2023,1,Jan-23,1005,organic_search,web,APAC,Enterprise,471.8,0.1,445.32,0.8,0.0773,1,45.27
2023,1,Jan-23,1006,organic_search,mobile_app,APAC,Pro,138.52,0.1,133.17,0.8,0.076,1,56.92
2023,1,Jan-23,1007,google_ads,web,North America,Basic,78.34,0,73.19,0.83,0.0901,1,348.95
2023,1,Jan-23,1008,organic_search,web,APAC,Enterprise,443.64,0,471.77,0.87,0.0285,12,52.27
2023,1,Jan-23,1009,outbound_sales,partner,APAC,Pro,108.54,0.2,81.91,0.8,0.0228,12,223.23
2023,1,Jan-23,1010,google_ads,partner,North America,Pro,183.89,0,187.27,0.87,0.0761,1,391.3
2023,1,Jan-23,1011,meta_ads,web,North America,Enterprise,341.61,0,342.49,0.89,0.0705,1,376.83
2023,1,Jan-23,1012,outbound_sales,web,North America,Enterprise,407.44,0.1,380.38,0.79,0.0728,1,183.11
2023,1,Jan-23,1013,outbound_sales,mobile_app,APAC,Pro,111.21,0,105.14,0.77,0.0714,1,219.08
2023,1,Jan-23,1014,google_ads,partner,North America,Enterprise,324.22,0,342.94,0.79,0.0584,1,366.25
2023,1,Jan-23,1015,outbound_sales,web,Europe,Pro,196.18,0.1,186.96,0.86,0.0999,1,186.01
2023,1,Jan-23,1016,meta_ads,mobile_app,Europe,Enterprise,282.59,0,293.98,0.85,0.0724,1,355.55
2023,1,Jan-23,1017,organic_search,partner,APAC,Enterprise,271.65,0.1,234.79,0.84,0.0207,12,43.85
2023,1,Jan-23,1018,google_ads,web,Europe,Pro,168.58,0.2,138.54,0.85,0.0756,1,367.18
2023,1,Jan-23,1019,outbound_sales,partner,North America,Basic,68.88,0.2,62.32,0.77,0.0557,1,225.48
